|input
17236|I do n't like this company nor the toshiba brand , and I 'll never buy another one because I 've put more into it then it is worth .
17240|My children wo n't even use it for their school work .
17244|I loved it .
17248|What a waste .
17252|Let me start with the good : So awesome .
17256|I claim that this has no value to me , the laptop was new anyway .
17260|Most laptops and notebooks are difficult to key on .
17264|I 'm now trying to decide on another Dell model .
17268|Returned laptop for a 4th repair and it came back but now would lock up and randomly reboot frequently making the laptop unusable .
17272|I spent 2200 dollars on a `` top of the line laptop '' .
17276|Those things are very important - vital even !
17280|So , I must say I am not a happy camper .
17284|We do n't Mind and You do n't Matter .
17288|However , If I sound enthusiastic about this , I am !
17292|It does n't heat up like my old laptop .
17296|I have had at least eight Toshiba laptops , and they have been outstanding , including this one .
17300|I had to wait 3 weeks to get it back and it still is not working properly .
17304|Second , it gets scratches easily and when it gets old some thing may operated
17308|I went with him and we picked this one .
17312|The Toshiba Mini Notebook , Model NB 305-N410BL , is a great little computer .
17316|this company truely does make horrible products and doesnt seem to because they are certain things like this `` never '' happen ...
17320|I am glad I did my research .
17324|I ca n't say enough good for it !
17328|it has had some problems .
17332|These new problems were the final straws ;
17336|-Apple offers to send replacement and after 10 days I send them the old computer .
17340|She brought out 2 other identical netbooks and still insist that `` It is like that one '' .
17344|I bought mine from Apple Store the day it was released as Amazon did n't have it yet .
17348|Now they are believers in the product .
17352|I spent alot of money on this product and its been a nightmare .
17356|In short I would never buy a Compaq again .
17360|Before I got my macbook , I owned a Dell laptop .
17364|seriously why have n't they just replaced it by now .
17368|The best thing is even while doing almost ten or twenty things at once , it never slows down .
17372|Using this machine is like a mild form of torture .
17376|I dont understand how anyone can think this is a great product worth purchasing .
17380|I bought this laptop for my son in 2007 for his Christmas present .
17384|If the number of patrons in the Apple store are any indication , HP and other PC manufacturers need to take note .
17388|This is my first computer purchase
17392|Great overall .
17396|Just for a stupid CD .
17400|So it was only about 2 weeks ago .
17404|i would have to say that overall its great !
17408|I hate it .
17412|Returning this as soon as I get out of work
17416|It is the worst laptop ever
17420|I have been a mac user since the mid 90s .
17424|-Managed to send complaint email .
17428|Not good for a person who gets online daily .
17432|I really like the Mac 15.4in . Notebook , but its very pricey .
17436|Maybe not the cutting edge ( Satellite L455D ) but it is a workhorse .
17440|I like to use it at the race track to handiecap the horse races .
17444|I BOUGHT THEM FOR MY COLLEGE AGE GRANDCHILDREN AND THESE MACS ARE TOTALLY RELIABLE AND SUPPORT THEIR CLASS WORK 100 % OF THE TIME .
17448|they have done absolutely nothing to fix the computer problem .
17452|its not bad just VERY VERY annoying .
17456|bought the first asus laptop in san francisco , returned it in santa maria , thinking it was just a problem with that computer .
17460|Highly recommend for daily use .
17464|His language was so bad I swore I was taking the turing test , and it was failing .
17468|I challenge anyone to show proof that through anywhere near normal use can get more than 2.5 hrs out of it .
